,Date,Open,High,Low,Close,Adj Close,Volume,CDL3BLACKCROWS,CDLEVENINGSTAR,CDLTASUKIGAP,CDLINVERTEDHAMMER,CDLMATCHINGLOW,CDLABANDONEDBABY,CDLMORNINGSTAR,CDLPIERCING,CDLSTICKSANDWICH,CDLTHRUSTING,CDLGRAVESTONEDOJI,CDLDRAGONFLYDOJI,CDLHAMMER,CDLENGULFING,EMA,Trend
0,1999-12-15 00:00:00-05:00,5.09375,5.242187976837158,5.078125,5.234375,4.085209369659424,17261600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1,1999-12-16 00:00:00-05:00,5.234375,5.75,5.210937976837158,5.710937976837158,4.463540554046631,11228000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2,1999-12-17 00:00:00-05:00,6.21875,6.984375,6.164062976837158,6.554687976837158,5.1229987144470215,45736800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3,1999-12-20 00:00:00-05:00,6.5625,6.640625,6.28125,6.398437976837158,5.000877857208252,11616000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4,1999-12-21 00:00:00-05:00,6.375,6.375,6.03125,6.140625,4.79937744140625,9639200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5,1999-12-22 00:00:00-05:00,6.234375,6.265625,6.125,6.1875,4.836012363433838,5060000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6,1999-12-23 00:00:00-05:00,6.210937976837158,6.492187976837158,6.195312976837158,6.484375,5.0680460929870605,5934400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
7,1999-12-27 00:00:00-05:00,6.453125,6.453125,6.210937976837158,6.210937976837158,4.8543314933776855,3876800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8,1999-12-28 00:00:00-05:00,6.21875,6.28125,6.203125,6.25,4.884862422943115,4499200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
9,1999-12-29 00:00:00-05:00,6.257812976837158,6.265625,6.203125,6.226562976837158,4.866543769836426,2108000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.139843988418579,1.0
10,1999-12-30 00:00:00-05:00,6.21875,6.25,6.140625,6.148437976837158,4.805483341217041,1956000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.141406531767411,1.0
11,1999-12-31 00:00:00-05:00,6.1875,6.21875,6.15625,6.195312976837158,4.842118263244629,1802400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.151207703598274,1.0
12,2000-01-03 00:00:00-05:00,6.164062976837158,6.195312976837158,5.96875,6.015625,4.7016777992248535,8014400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.126556302944042,0.0
