,Communication,CustomerDiscretionary,CustomerStaples,Energy,Finance,Healthcare,Industrial,Materials,IT,RealEstate,Utilities,All
Positive Trades,94.0,93.0,88.0,113.0,62.0,79.0,74.0,72.0,73.0,83.0,117.0,948.0
Negative Trades,67.0,69.0,70.0,70.0,80.0,67.0,72.0,56.0,68.0,52.0,62.0,733.0
Total Trades,161.0,162.0,158.0,183.0,142.0,146.0,146.0,128.0,141.0,135.0,179.0,1681.0
Negative Trades Portion,0.4161490683229814,0.42592592592592593,0.4430379746835443,0.3825136612021858,0.5633802816901409,0.4589041095890411,0.4931506849315068,0.4375,0.48226950354609927,0.3851851851851852,0.3463687150837989,0.4360499702558001
