,Communication,CustomerDiscretionary,CustomerStaples,Energy,Finance,Healthcare,Industrial,Materials,IT,RealEstate,Utilities,All
Positive Trades,84.0,94.0,79.0,93.0,87.0,83.0,95.0,101.0,106.0,79.0,65.0,966.0
Negative Trades,87.0,92.0,69.0,98.0,86.0,77.0,91.0,63.0,88.0,71.0,67.0,889.0
Total Trades,171.0,186.0,148.0,191.0,173.0,160.0,186.0,164.0,194.0,150.0,132.0,1855.0
Negative Trades Portion,0.5087719298245614,0.4946236559139785,0.46621621621621623,0.5130890052356021,0.49710982658959535,0.48125,0.489247311827957,0.38414634146341464,0.4536082474226804,0.47333333333333333,0.5075757575757576,0.47924528301886793
