,Communication,CustomerDiscretionary,CustomerStaples,Energy,Finance,Healthcare,Industrial,Materials,IT,RealEstate,Utilities,All
Positive Trades,231.0,249.0,292.0,186.0,265.0,277.0,261.0,254.0,255.0,304.0,270.0,2844.0
Negative Trades,206.0,215.0,210.0,227.0,214.0,233.0,255.0,165.0,218.0,230.0,238.0,2411.0
Total Trades,437.0,464.0,502.0,413.0,479.0,510.0,516.0,419.0,473.0,534.0,508.0,5255.0
Negative Trades Portion,0.47139588100686497,0.46336206896551724,0.41832669322709165,0.549636803874092,0.44676409185803756,0.4568627450980392,0.4941860465116279,0.3937947494033413,0.4608879492600423,0.4307116104868914,0.468503937007874,0.4588011417697431
