,Communication,CustomerDiscretionary,CustomerStaples,Energy,Finance,Healthcare,Industrial,Materials,IT,RealEstate,Utilities,All
Positive Trades,74.0,76.0,81.0,98.0,57.0,80.0,82.0,67.0,83.0,77.0,99.0,874.0
Negative Trades,87.0,86.0,77.0,85.0,85.0,66.0,64.0,61.0,58.0,58.0,80.0,807.0
Total Trades,161.0,162.0,158.0,183.0,142.0,146.0,146.0,128.0,141.0,135.0,179.0,1681.0
Negative Trades Portion,0.5403726708074534,0.5308641975308642,0.4873417721518987,0.4644808743169399,0.5985915492957746,0.4520547945205479,0.4383561643835616,0.4765625,0.41134751773049644,0.42962962962962964,0.44692737430167595,0.48007138607971445
