,Profits
Communication,-0.04902766490728077
CustomerDiscretionary,0.036857153786685665
CustomerStaples,-0.019610782614631613
Energy,-0.26804612280844975
Finance,-0.03187225385900622
Healthcare,0.054576691835951666
Industrial,-0.06302873272969957
Materials,0.08780699203840861
IT,-0.03327793313390668
RealEstate,-0.0035145771422995216
Utilities,0.058244801229111125
All,-0.018280554239465674
