,Profits
Communication,0.15022893650086572
CustomerDiscretionary,0.4137033246592216
CustomerStaples,0.20630990253623566
Energy,0.17951079479389304
Finance,0.13598654796322232
Healthcare,0.022260293034100216
Industrial,0.18027376934650394
Materials,0.6056481533325884
IT,0.20245210219946347
RealEstate,0.28478004865814105
Utilities,0.3677419306637461
All,0.24285939301888107
