,Communication,CustomerDiscretionary,CustomerStaples,Energy,Finance,Healthcare,Industrial,Materials,IT,RealEstate,Utilities,All
Positive Trades,158.0,185.0,207.0,171.0,208.0,191.0,208.0,163.0,188.0,146.0,168.0,1993.0
Negative Trades,166.0,199.0,182.0,169.0,183.0,172.0,184.0,133.0,182.0,144.0,146.0,1860.0
Total Trades,324.0,384.0,389.0,340.0,391.0,363.0,392.0,296.0,370.0,290.0,314.0,3853.0
Negative Trades Portion,0.5123456790123457,0.5182291666666666,0.46786632390745503,0.4970588235294118,0.4680306905370844,0.4738292011019284,0.46938775510204084,0.44932432432432434,0.4918918918918919,0.496551724137931,0.46496815286624205,0.4827407215157021
