,Communication,CustomerDiscretionary,CustomerStaples,Energy,Finance,Healthcare,Industrial,Materials,IT,RealEstate,Utilities,All
Positive Trades,576.0,645.0,658.0,572.0,644.0,608.0,672.0,559.0,699.0,579.0,692.0,6904.0
Negative Trades,540.0,561.0,506.0,519.0,498.0,558.0,536.0,415.0,525.0,475.0,541.0,5674.0
Total Trades,1116.0,1206.0,1164.0,1091.0,1142.0,1166.0,1208.0,974.0,1224.0,1054.0,1233.0,12578.0
Negative Trades Portion,0.4838709677419355,0.4651741293532338,0.43470790378006874,0.47571035747021084,0.436077057793345,0.47855917667238423,0.44370860927152317,0.4260780287474333,0.42892156862745096,0.4506641366223909,0.43876723438767234,0.45110510415010335
