,Communication,CustomerDiscretionary,CustomerStaples,Energy,Finance,Healthcare,Industrial,Materials,IT,RealEstate,Utilities,All
Positive Trades,96.0,96.0,88.0,96.0,98.0,70.0,101.0,83.0,103.0,79.0,61.0,971.0
Negative Trades,75.0,90.0,60.0,95.0,75.0,90.0,85.0,81.0,91.0,71.0,71.0,884.0
Total Trades,171.0,186.0,148.0,191.0,173.0,160.0,186.0,164.0,194.0,150.0,132.0,1855.0
Negative Trades Portion,0.43859649122807015,0.4838709677419355,0.40540540540540543,0.4973821989528796,0.43352601156069365,0.5625,0.45698924731182794,0.49390243902439024,0.4690721649484536,0.47333333333333333,0.5378787878787878,0.4765498652291105
